Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,0,-20.9,0.87,0.6,70.12,-16.7,1006
2018,1,1,0,30,0,0,-20.9,0.87,0.6,72.52,-17.1,1006
2018,1,1,1,0,0,0,-21.6,0.87,0.6,70.77,-17.6,1006
2018,1,1,1,30,0,0,-21.6,0.87,0.6,73.28,-18,1007
2018,1,1,2,0,0,0,-22.4,0.87,0.6,71.63,-18.5,1007
2018,1,1,2,30,0,0,-22.4,0.87,0.6,72.86,-18.7,1007
2018,1,1,3,0,0,0,-22.8,0.87,0.6,71.39,-18.9,1007
2018,1,1,3,30,0,0,-22.8,0.87,0.6,72.62,-19.1,1007
2018,1,1,4,0,0,0,-23,0.87,0.6,72.31,-19.3,1007
2018,1,1,4,30,0,0,-23,0.87,0.6,72.93,-19.4,1007
2018,1,1,5,0,0,0,-23.2,0.87,0.6,72.48,-19.5,1007
2018,1,1,5,30,0,0,-23.2,0.87,0.5,73.11,-19.6,1007
2018,1,1,6,0,0,0,-23.3,0.87,0.5,73.07,-19.7,1007
2018,1,1,6,30,0,0,-23.3,0.87,0.5,73.14,-19.7,1008
2018,1,1,7,0,0,0,-23.4,0.87,0.5,73.11,-19.8,1008
2018,1,1,7,30,11,114,-23.4,0.87,0.6,67.1,-18.8,1008
2018,1,1,8,0,34,275,-22.3,0.87,0.6,68.24,-17.9,1008
2018,1,1,8,30,48,463,-22.3,0.87,0.6,62.72,-16.9,1008
2018,1,1,9,0,48,741,-21.2,0.87,0.6,63.51,-15.9,1008
2018,1,1,9,30,54,886,-21.2,0.87,0.7,58.94,-15,1008
2018,1,1,10,0,61,923,-20.3,0.87,0.7,59.26,-14.1,1008
2018,1,1,10,30,64,950,-20.3,0.87,0.7,55.97,-13.4,1008
2018,1,1,11,0,67,967,-19.5,0.87,0.7,56.61,-12.7,1008
2018,1,1,11,30,68,967,-19.6,0.87,0.7,54.32,-12.2,1007
2018,1,1,12,0,68,953,-18.9,0.87,0.7,55.51,-11.8,1007
2018,1,1,12,30,68,952,-18.9,0.87,0.7,54.19,-11.5,1007
2018,1,1,13,0,66,940,-18.4,0.87,0.7,55.38,-11.2,1007
2018,1,1,13,30,64,908,-18.4,0.87,0.7,55.38,-11.2,1007
2018,1,1,14,0,61,886,-17.9,0.87,0.7,57.39,-11.1,1007
2018,1,1,14,30,55,809,-17.9,0.87,0.6,58.32,-11.3,1007
2018,1,1,15,0,48,635,-17.5,0.87,0.6,61.2,-11.5,1007
2018,1,1,15,30,42,438,-17.5,0.87,0.5,64.73,-12.2,1007
2018,1,1,16,0,28,233,-17.9,0.87,0.5,66.06,-12.9,1007
2018,1,1,16,30,4,48,-17.9,0.87,0.5,69.36,-13.5,1007
2018,1,1,17,0,0,0,-18.4,0.87,0.5,69.22,-14,1007
2018,1,1,17,30,0,0,-18.4,0.87,0.5,71.6,-14.4,1008
2018,1,1,18,0,0,0,-18.5,0.87,0.6,73.16,-14.8,1008
2018,1,1,18,30,0,0,-18.5,0.87,0.6,73.16,-14.8,1008
2018,1,1,19,0,0,0,-18.6,0.87,0.6,77.8,-15.6,1008
2018,1,1,19,30,0,0,-18.6,0.87,0.6,79.02,-15.8,1007
2018,1,1,20,0,0,0,-18.6,0.87,0.5,79.88,-15.9,1007
2018,1,1,20,30,0,0,-18.6,0.87,0.5,79.22,-15.8,1007
2018,1,1,21,0,0,0,-18.3,0.87,0.5,80.36,-15.7,1007
2018,1,1,21,30,0,0,-18.3,0.87,0.5,77.74,-15.3,1007
2018,1,1,22,0,0,0,-17.7,0.87,0.6,78.9,-14.9,1006
2018,1,1,22,30,0,0,-17.7,0.87,0.6,80.21,-15.1,1006
2018,1,1,23,0,0,0,-17.1,0.87,0.6,85.11,-15.2,1006
2018,1,1,23,30,0,0,-17.1,0.87,0.6,85.11,-15.2,1006
2018,1,2,0,0,0,0,-16.7,0.87,0.6,88.65,-15.2,1006
2018,1,2,0,30,0,0,-16.7,0.87,0.6,87.92,-15.1,1006
2018,1,2,1,0,0,0,-16.3,0.87,0.6,88.84,-14.9,1006
2018,1,2,1,30,0,0,-16.3,0.87,0.6,87.39,-14.7,1006
2018,1,2,2,0,0,0,-16.4,0.87,0.6,84.91,-14.4,1006
2018,1,2,2,30,0,0,-16.4,0.87,0.6,82.18,-14,1006
2018,1,2,3,0,0,0,-16.7,0.87,0.6,77.39,-13.6,1007
2018,1,2,3,30,0,0,-16.7,0.87,0.6,74.91,-13.2,1007
2018,1,2,4,0,0,0,-16.8,0.87,0.6,72.08,-12.8,1007
2018,1,2,4,30,0,0,-16.8,0.87,0.6,71.5,-12.7,1007
2018,1,2,5,0,0,0,-16.8,0.87,0.6,70.46,-12.5,1007
2018,1,2,5,30,0,0,-16.8,0.87,0.6,71.68,-12.7,1008
2018,1,2,6,0,0,0,-17.2,0.87,0.6,70.16,-12.9,1008
2018,1,2,6,30,0,0,-17.2,0.87,0.6,70.8,-13,1009
2018,1,2,7,0,0,0,-17.5,0.87,0.5,69.94,-13.2,1009
2018,1,2,7,30,12,100,-17.5,0.87,0.5,67.71,-12.8,1009
2018,1,2,8,0,34,256,-17.2,0.87,0.5,67.74,-12.5,1009
2018,1,2,8,30,45,480,-17.2,0.87,0.5,63.52,-11.7,1009
2018,1,2,9,0,48,651,-16.3,0.87,0.5,64.76,-11,1009
2018,1,2,9,30,59,798,-16.3,0.87,0.5,60.3,-10.1,1009
2018,1,2,10,0,57,810,-15.2,0.87,0.5,62.28,-9.3,1009
2018,1,2,10,30,61,814,-15.2,0.87,0.5,58.44,-8.5,1008
2018,1,2,11,0,74,798,-14,0.87,0.5,61.09,-7.8,1008
2018,1,2,11,30,74,768,-14,0.87,0.5,58.72,-7.3,1007
2018,1,2,12,0,69,793,-13.1,0.87,0.5,60.54,-6.7,1007
2018,1,2,12,30,70,779,-13.1,0.87,0.5,59.16,-6.4,1007
2018,1,2,13,0,69,767,-12.5,0.87,0.5,61.17,-6.2,1006
2018,1,2,13,30,120,432,-12.5,0.87,0.5,60.7,-6.1,1006
2018,1,2,14,0,107,417,-12,0.87,0.5,63.09,-6.1,1006
2018,1,2,14,30,81,477,-12,0.87,0.5,64.55,-6.4,1006
2018,1,2,15,0,67,396,-11.7,0.87,0.4,67.17,-6.6,1006
2018,1,2,15,30,46,380,-11.7,0.87,0.4,72.54,-7.6,1006
2018,1,2,16,0,29,194,-12.3,0.87,0.4,74.47,-8.6,1006
2018,1,2,16,30,4,33,-12.3,0.87,0.4,76.24,-8.9,1006
2018,1,2,17,0,0,0,-12.3,0.87,0.5,77.97,-9.2,1006
2018,1,2,17,30,0,0,-12.3,0.87,0.5,78.58,-9.3,1006
2018,1,2,18,0,0,0,-12.2,0.87,0.5,80.41,-9.5,1006
2018,1,2,18,30,0,0,-12.2,0.87,0.5,80.41,-9.5,1006
2018,1,2,19,0,0,0,-12.3,0.87,0.5,83.64,-10.1,1006
2018,1,2,19,30,0,0,-12.3,0.87,0.5,84.98,-10.3,1006
2018,1,2,20,0,0,0,-12.5,0.87,0.5,86.16,-10.6,1005
2018,1,2,20,30,0,0,-12.5,0.87,0.5,87.54,-10.8,1005
2018,1,2,21,0,0,0,-12.6,0.87,0.5,87.92,-11,1005
2018,1,2,21,30,0,0,-12.6,0.87,0.5,89.33,-11.2,1005
2018,1,2,22,0,0,0,-12.8,0.87,0.5,89.05,-11.4,1005
2018,1,2,22,30,0,0,-12.8,0.87,0.5,91.22,-11.7,1005
2018,1,2,23,0,0,0,-13.2,0.87,0.5,90.32,-11.9,1006
2018,1,2,23,30,0,0,-13.2,0.87,0.5,91.78,-12.1,1006
2018,1,3,0,0,0,0,-13.6,0.87,0.5,91.1,-12.4,1006
2018,1,3,0,30,0,0,-13.6,0.87,0.6,92.58,-12.6,1006
2018,1,3,1,0,0,0,-13.9,0.87,0.6,91.49,-12.8,1006
2018,1,3,1,30,0,0,-13.9,0.87,0.6,92.98,-13,1006
2018,1,3,2,0,0,0,-14.2,0.87,0.6,92.42,-13.2,1006
2018,1,3,2,30,0,0,-14.2,0.87,0.6,93.93,-13.4,1006
2018,1,3,3,0,0,0,-14.4,0.87,0.6,92.93,-13.5,1006
2018,1,3,3,30,0,0,-14.4,0.87,0.6,92.93,-13.5,1006
2018,1,3,4,0,0,0,-14.6,0.87,0.6,92.44,-13.6,1006
2018,1,3,4,30,0,0,-14.6,0.87,0.6,92.44,-13.6,1006
2018,1,3,5,0,0,0,-14.7,0.87,0.6,91.12,-13.6,1006
2018,1,3,5,30,0,0,-14.7,0.87,0.5,91.12,-13.6,1006
2018,1,3,6,0,0,0,-14.9,0.87,0.5,89.71,-13.6,1006
2018,1,3,6,30,0,0,-14.9,0.87,0.5,89.71,-13.6,1006
2018,1,3,7,0,0,0,-15,0.87,0.5,89.11,-13.6,1006
2018,1,3,7,30,11,109,-15,0.87,0.4,82.83,-12.7,1006
2018,1,3,8,0,32,328,-14.7,0.87,0.3,78.84,-11.8,1006
2018,1,3,8,30,43,502,-14.7,0.87,0.3,69.4,-10.2,1006
2018,1,3,9,0,48,655,-14,0.87,0.2,64.81,-8.6,1006
2018,1,3,9,30,55,785,-14,0.87,0.3,59.97,-7.6,1006
2018,1,3,10,0,63,779,-13.3,0.87,0.3,58.3,-6.5,1006
2018,1,3,10,30,61,885,-13.3,0.87,0.3,54.84,-5.7,1006
2018,1,3,11,0,62,827,-12.7,0.87,0.3,54.99,-5,1005
2018,1,3,11,30,71,787,-12.7,0.87,0.3,53.35,-4.6,1005
2018,1,3,12,0,82,737,-12.4,0.87,0.3,52.96,-4.2,1004
2018,1,3,12,30,80,738,-12.4,0.87,0.3,52.56,-4.1,1004
2018,1,3,13,0,86,686,-12.2,0.87,0.3,52.73,-4,1004
2018,1,3,13,30,69,735,-12.2,0.87,0.3,53.13,-4.1,1004
2018,1,3,14,0,66,689,-11.9,0.87,0.3,54.83,-4.2,1004
2018,1,3,14,30,54,790,-12,0.87,0.3,56.88,-4.7,1003
2018,1,3,15,0,49,631,-11.3,0.87,0.3,62.9,-5.3,1003
2018,1,3,15,30,42,467,-11.3,0.87,0.5,68.92,-6.5,1003
2018,1,3,16,0,29,290,-13.2,0.87,0.8,65.17,-7.8,1002
2018,1,3,16,30,7,75,-13.2,0.87,0.8,70.44,-8.8,1002
2018,1,3,17,0,0,0,-13.7,0.87,0.7,72.97,-9.8,1003
2018,1,3,17,30,0,0,-13.7,0.87,0.7,70.71,-9.4,1003
2018,1,3,18,0,0,0,-13.6,0.87,0.7,69.04,-9,1002
2018,1,3,18,30,0,0,-13.6,0.87,0.7,69.04,-9,1002
2018,1,3,19,0,0,0,-14,0.87,0.8,61.55,-7.9,1001
2018,1,3,19,30,0,0,-14,0.87,0.9,62.45,-8.1,1000
2018,1,3,20,0,0,0,-14,0.87,0.9,63.63,-8.3,1000
2018,1,3,20,30,0,0,-14,0.87,0.9,64.13,-8.4,1000
2018,1,3,21,0,0,0,-13.5,0.87,0.9,67.2,-8.5,1000
2018,1,3,21,30,0,0,-13.5,0.87,0.8,65.65,-8.2,1000
2018,1,3,22,0,0,0,-12.8,0.87,0.8,68.1,-7.9,999
2018,1,3,22,30,0,0,-12.8,0.87,0.7,68.1,-7.9,999
2018,1,3,23,0,0,0,-12,0.87,0.6,73.02,-8,999
2018,1,3,23,30,0,0,-12,0.87,0.5,72.87,-8,997
2018,1,4,0,0,0,0,-11.5,0.87,0.4,75.97,-8,996
2018,1,4,0,30,0,0,-11.5,0.87,0.4,74.8,-7.8,996
2018,1,4,1,0,0,0,-11.8,0.87,0.5,72.69,-7.7,995
2018,1,4,1,30,0,0,-11.8,0.87,0.5,74.32,-8,994
2018,1,4,2,0,0,0,-11.6,0.87,0.5,76.96,-8.3,993
2018,1,4,2,30,0,0,-11.6,0.87,0.6,76.28,-8.2,992
2018,1,4,3,0,0,0,-10.9,0.87,0.6,80.65,-8.2,992
2018,1,4,3,30,0,0,-10.9,0.87,0.6,79.94,-8.1,991
2018,1,4,4,0,0,0,-10.4,0.87,0.7,82.98,-8,990
2018,1,4,4,30,0,0,-10.4,0.87,0.8,82.25,-7.9,989
2018,1,4,5,0,0,0,-10,0.87,0.8,84.1,-7.8,987
2018,1,4,5,30,0,0,-10,0.87,0.9,82.09,-7.5,986
2018,1,4,6,0,0,0,-9.5,0.87,1,84.45,-7.3,985
2018,1,4,6,30,0,0,-9.5,0.87,1,84.37,-7.3,984
2018,1,4,7,0,0,0,-9.3,0.87,1,84.92,-7.2,982
2018,1,4,7,30,7,20,-9.3,0.87,1.1,83.53,-7,981
2018,1,4,8,0,24,0,-8.9,0.87,1.2,84.94,-6.8,980
2018,1,4,8,30,41,0,-8.9,0.87,1.2,83.56,-6.6,979
2018,1,4,9,0,62,0,-8.4,0.87,1.3,84.87,-6.3,977
2018,1,4,9,30,98,42,-8.4,0.87,1.3,84.14,-6.2,976
2018,1,4,10,0,113,4,-8,0.87,1.3,86.2,-6.1,975
2018,1,4,10,30,135,21,-8.1,0.87,1.3,84.72,-5.9,973
2018,1,4,11,0,116,4,-7.5,0.87,1.4,87.58,-5.8,972
2018,1,4,11,30,109,5,-7.5,0.87,1.4,86.82,-5.7,971
2018,1,4,12,0,124,520,-7.3,0.87,1.4,88.21,-5.7,970
2018,1,4,12,30,121,563,-7.3,0.87,1.4,88.89,-5.8,970
2018,1,4,13,0,141,398,-7.4,0.87,1.4,89.48,-6,970
2018,1,4,13,30,142,309,-7.5,0.87,1.4,90.08,-6.1,969
2018,1,4,14,0,137,145,-7.8,0.87,1.5,89.4,-6.3,969
2018,1,4,14,30,97,363,-7.8,0.87,1.4,91.47,-6.6,969
2018,1,4,15,0,82,244,-8.2,0.87,1.4,90.51,-6.9,969
2018,1,4,15,30,59,114,-8.2,0.87,1.4,90.51,-6.9,969
2018,1,4,16,0,31,64,-8.3,0.87,1.4,90.13,-7,970
2018,1,4,16,30,7,35,-8.3,0.87,1.4,90.13,-7,970
2018,1,4,17,0,0,0,-8.3,0.87,1.4,90.43,-7,971
2018,1,4,17,30,0,0,-8.3,0.87,1.3,89.74,-6.9,971
2018,1,4,18,0,0,0,-8.3,0.87,1.3,89.94,-6.9,972
2018,1,4,18,30,0,0,-8.3,0.87,1.3,89.94,-6.9,972
2018,1,4,19,0,0,0,-8.3,0.87,1.3,89.82,-6.9,974
2018,1,4,19,30,0,0,-8.3,0.87,1.2,90.51,-7,974
2018,1,4,20,0,0,0,-8.4,0.87,1.2,89.54,-7,975
2018,1,4,20,30,0,0,-8.4,0.87,1.2,90.23,-7.1,975
2018,1,4,21,0,0,0,-8.7,0.87,1.1,89.09,-7.2,976
2018,1,4,21,30,0,0,-8.7,0.87,1.1,90.48,-7.4,976
2018,1,4,22,0,0,0,-9.1,0.87,1.1,88.69,-7.6,977
2018,1,4,22,30,0,0,-9.1,0.87,1,91.48,-8,977
2018,1,4,23,0,0,0,-9.9,0.87,1,88.39,-8.3,978
2018,1,4,23,30,0,0,-9.9,0.87,1,91.91,-8.8,978
2018,1,5,0,0,0,0,-10.9,0.87,1,87.79,-9.2,978
2018,1,5,0,30,0,0,-10.8,0.87,1,91.4,-9.7,979
2018,1,5,1,0,0,0,-11.9,0.87,0.9,87.16,-10.2,979
2018,1,5,1,30,0,0,-11.9,0.87,0.9,90.06,-10.6,980
2018,1,5,2,0,0,0,-12.8,0.87,0.9,86.68,-11,980
2018,1,5,2,30,0,0,-12.8,0.87,0.9,88.17,-11.2,981
2018,1,5,3,0,0,0,-13.4,0.87,0.9,85.82,-11.5,981
2018,1,5,3,30,0,0,-13.4,0.87,0.9,87.21,-11.7,981
2018,1,5,4,0,0,0,-13.9,0.87,1,85.1,-11.9,982
2018,1,5,4,30,0,0,-13.9,0.87,1,87.18,-12.2,982
2018,1,5,5,0,0,0,-14.5,0.87,1,84.38,-12.4,983
2018,1,5,5,30,0,0,-14.5,0.87,1,86.45,-12.7,983
2018,1,5,6,0,0,0,-15.2,0.87,1,83.69,-13,984
2018,1,5,6,30,0,0,-15.2,0.87,1,85.76,-13.3,984
2018,1,5,7,0,0,0,-15.8,0.87,1,83.35,-13.6,985
2018,1,5,7,30,12,91,-15.8,0.87,1,84.03,-13.7,985
2018,1,5,8,0,33,323,-16.2,0.87,1,81.94,-13.8,985
2018,1,5,8,30,45,531,-16.2,0.87,1,82.03,-13.8,986
2018,1,5,9,0,59,678,-16.3,0.87,1,81.82,-13.9,986
2018,1,5,9,30,71,804,-16.3,0.87,1,80.5,-13.7,986
2018,1,5,10,0,83,827,-16.2,0.87,1,80.87,-13.6,987
2018,1,5,10,30,87,865,-16.2,0.87,1.1,80.22,-13.5,987
2018,1,5,11,0,89,893,-16,0.87,1.1,80.44,-13.3,987
2018,1,5,11,30,88,911,-16,0.87,1.1,79.79,-13.2,987
2018,1,5,12,0,87,923,-15.9,0.87,1.1,80.24,-13.2,987
2018,1,5,12,30,87,901,-15.9,0.87,1.1,80.9,-13.3,987
2018,1,5,13,0,90,883,-16.1,0.87,1.1,79.68,-13.3,988
2018,1,5,13,30,84,870,-16.1,0.87,1.1,80.99,-13.5,988
2018,1,5,14,0,74,844,-16.4,0.87,1.1,80.13,-13.7,988
2018,1,5,14,30,63,784,-16.4,0.87,1.1,80.86,-13.8,989
2018,1,5,15,0,50,615,-16.8,0.87,1.1,79.56,-14,989
2018,1,5,15,30,44,464,-16.8,0.87,1.1,81.62,-14.3,990
2018,1,5,16,0,30,258,-17.3,0.87,1.1,79.66,-14.6,990
2018,1,5,16,30,8,65,-17.3,0.87,1.1,80.4,-14.7,991
2018,1,5,17,0,0,0,-17.6,0.87,1.1,79.64,-14.9,992
2018,1,5,17,30,0,0,-17.6,0.87,1.1,79.64,-14.9,992
2018,1,5,18,0,0,0,-17.7,0.87,1.1,79.6,-15,992
2018,1,5,18,30,0,0,-17.7,0.87,1.1,79.6,-15,992
2018,1,5,19,0,0,0,-17.8,0.87,1.1,79.36,-15,993
2018,1,5,19,30,0,0,-17.8,0.87,1.1,79.36,-15,993
2018,1,5,20,0,0,0,-17.7,0.87,1.1,79.73,-15,993
2018,1,5,20,30,0,0,-17.7,0.87,1.1,79.73,-15,993
2018,1,5,21,0,0,0,-17.7,0.87,1.1,79.79,-15,994
2018,1,5,21,30,0,0,-17.7,0.87,1,80.45,-15.1,994
2018,1,5,22,0,0,0,-17.9,0.87,1,79.93,-15.2,994
2018,1,5,22,30,0,0,-17.9,0.87,1,80.59,-15.3,994
2018,1,5,23,0,0,0,-17.9,0.87,1,80.26,-15.3,994
2018,1,5,23,30,0,0,-17.9,0.87,1,80.34,-15.3,995
2018,1,6,0,0,0,0,-17.8,0.87,1,80.35,-15.2,995
2018,1,6,0,30,0,0,-17.8,0.87,1,80.35,-15.2,995
2018,1,6,1,0,0,0,-17.7,0.87,1,80.66,-15.1,996
2018,1,6,1,30,0,0,-17.7,0.87,1,80.66,-15.1,996
2018,1,6,2,0,0,0,-17.7,0.87,1,80.43,-15.1,996
2018,1,6,2,30,0,0,-17.7,0.87,1,80.43,-15.1,996
2018,1,6,3,0,0,0,-17.8,0.87,1,80.15,-15.1,997
2018,1,6,3,30,0,0,-17.8,0.87,0.9,80.15,-15.1,997
2018,1,6,4,0,0,0,-17.7,0.87,0.9,80.07,-15,997
