,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"4,104","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093","4,093",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,213","4,320","4,428","4,539","4,653","4,769","4,888","5,010","5,136","5,264","5,396","5,531","5,669","5,811","5,956","6,105","6,257","6,414","6,574","6,738","6,907","7,080","7,257","7,438","7,624",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,784,802,822,842,864,885,907,930,953,977,"1,001","1,026","1,052","1,078","1,105","1,133","1,161","1,190","1,220","1,251","1,282","1,314","1,347","1,380","1,415",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822","15,822",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,91,93,96,98,100,103,106,108,111,114,117,119,122,126,129,132,135,139,142,146,149,153,157,161,165,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,79,81,83,85,87,90,92,94,96,99,101,104,106,109,112,115,117,120,123,126,130,133,136,140,143,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,170,174,179,183,188,193,197,202,207,213,218,223,229,235,240,246,253,259,265,272,279,286,293,300,308,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"15,822","15,491","15,143","14,777","14,394","13,991","13,568","13,123","12,657","12,167","11,653","11,113","10,546","9,950","9,325","8,669","7,980","7,256","6,496","5,698","4,860","3,981","3,057","2,087","1,069",0,
Interest payment ($),0,791,775,757,739,720,700,678,656,633,608,583,556,527,498,466,433,399,363,325,285,243,199,153,104,53,
Principal payment ($),0,332,348,366,384,403,423,444,466,490,514,540,567,595,625,656,689,724,760,798,838,880,924,970,"1,018","1,069",
Total P&I debt payment ($),0,"1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123","1,123",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,-791,-775,-757,-739,-720,-700,-678,-656,-633,-608,-583,-556,-527,-498,-466,-433,-399,-363,-325,-285,-243,-199,-153,-104,-53,
State taxable income less deductions ($),0,-791,-775,-757,-739,-720,-700,-678,-656,-633,-608,-583,-556,-527,-498,-466,-433,-399,-363,-325,-285,-243,-199,-153,-104,-53,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,-791,-775,-757,-739,-720,-700,-678,-656,-633,-608,-583,-556,-527,-498,-466,-433,-399,-363,-325,-285,-243,-199,-153,-104,-53,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,47,46,45,44,43,42,41,39,38,37,35,33,32,30,28,26,24,22,19,17,15,12,9,6,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,47,46,45,44,43,42,41,39,38,37,35,33,32,30,28,26,24,22,19,17,15,12,9,6,3,
Interest payment ($),-0,-791,-775,-757,-739,-720,-700,-678,-656,-633,-608,-583,-556,-527,-498,-466,-433,-399,-363,-325,-285,-243,-199,-153,-104,-53,
Federal taxable income less deductions ($),0,-744,-728,-712,-695,-676,-658,-638,-617,-595,-572,-548,-522,-496,-468,-438,-407,-375,-341,-305,-268,-228,-187,-144,-98,-50,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"4,114",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,-744,-728,-712,-695,-676,-658,-638,-617,-595,-572,-548,-522,-496,-468,-438,-407,-375,-341,-305,-268,-228,-187,-144,-98,-50,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"4,263",146,142,139,135,132,128,123,119,114,110,104,99,94,88,81,75,68,61,54,46,37,29,20,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"3,017","-1,105","-1,114","-1,123","-1,132","-1,142","-1,152","-1,162","-1,173","-1,184","-1,196","-1,208","-1,221","-1,234","-1,247","-1,262","-1,276","-1,292","-1,307","-1,324","-1,341","-1,359","-1,378","-1,397","-1,417",
After-tax cash flow ($),0,"3,802",-303,-292,-280,-268,-257,-244,-232,-220,-207,-195,-182,-169,-155,-142,-129,-115,-101,-87,-73,-59,-45,-31,-17,-2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ITC income ($),,"4,114",,,,,,,,,,,,,,,,,,,,,,,,,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
