,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"4,416","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402","4,402",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"4,153","4,260","4,366","4,476","4,587","4,702","4,820","4,940","5,064","5,190","5,320","5,453","5,589","5,729","5,872","6,019","6,170","6,324","6,482","6,644","6,810","6,980","7,155","7,334","7,517",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,844,862,884,906,929,952,976,"1,000","1,025","1,051","1,077","1,104","1,132","1,160","1,189","1,219","1,249","1,280","1,312","1,345","1,379","1,413","1,449","1,485","1,522",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304","21,304",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,126,129,132,136,139,143,146,150,154,157,161,165,170,174,178,183,187,192,197,202,207,212,217,222,228,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,107,109,112,115,118,121,124,127,130,133,136,140,143,147,151,154,158,162,166,170,175,179,183,188,193,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,233,238,244,250,257,263,270,276,283,290,298,305,313,321,329,337,345,354,363,372,381,391,400,410,421,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"21,304","20,857","20,389","19,897","19,380","18,837","18,268","17,669","17,041","16,382","15,689","14,962","14,199","13,397","12,556","11,672","10,744","9,769","8,746","7,672","6,544","5,360","4,116","2,811","1,440",0,
Interest payment ($),0,"1,065","1,043","1,019",995,969,942,913,883,852,819,784,748,710,670,628,584,537,488,437,384,327,268,206,141,72,
Principal payment ($),0,446,469,492,517,543,570,598,628,659,692,727,763,802,842,884,928,974,"1,023","1,074","1,128","1,184","1,244","1,306","1,371","1,440",
Total P&I debt payment ($),0,"1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512","1,512",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-1,065","-1,043","-1,019",-995,-969,-942,-913,-883,-852,-819,-784,-748,-710,-670,-628,-584,-537,-488,-437,-384,-327,-268,-206,-141,-72,
State taxable income less deductions ($),0,"-1,065","-1,043","-1,019",-995,-969,-942,-913,-883,-852,-819,-784,-748,-710,-670,-628,-584,-537,-488,-437,-384,-327,-268,-206,-141,-72,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-1,065","-1,043","-1,019",-995,-969,-942,-913,-883,-852,-819,-784,-748,-710,-670,-628,-584,-537,-488,-437,-384,-327,-268,-206,-141,-72,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,64,63,61,60,58,57,55,53,51,49,47,45,43,40,38,35,32,29,26,23,20,16,12,8,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,64,63,61,60,58,57,55,53,51,49,47,45,43,40,38,35,32,29,26,23,20,16,12,8,4,
Interest payment ($),-0,"-1,065","-1,043","-1,019",-995,-969,-942,-913,-883,-852,-819,-784,-748,-710,-670,-628,-584,-537,-488,-437,-384,-327,-268,-206,-141,-72,
Federal taxable income less deductions ($),0,"-1,001",-980,-958,-935,-911,-885,-859,-830,-801,-770,-737,-703,-667,-630,-590,-549,-505,-459,-411,-361,-308,-252,-193,-132,-68,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"5,539",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,"-1,001",-980,-958,-935,-911,-885,-859,-830,-801,-770,-737,-703,-667,-630,-590,-549,-505,-459,-411,-361,-308,-252,-193,-132,-68,
