,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kWh),0,"10,766","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill without system ($/yr),0,"4,997","5,122","5,250","5,382","5,516","5,654","5,795","5,940","6,089","6,241","6,397","6,557","6,721","6,889","7,061","7,238","7,419","7,604","7,794","7,989","8,189","8,394","8,603","8,818","9,039",
minus:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity bill with system ($/yr),0,"2,939","3,020","3,095","3,173","3,252","3,333","3,417","3,502","3,590","3,680","3,772","3,866","3,962","4,062","4,163","4,267","4,374","4,483","4,595","4,710","4,828","4,949","5,072","5,199","5,329",
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value of electricity savings ($),0,"2,058","2,102","2,155","2,209","2,264","2,321","2,379","2,438","2,499","2,562","2,626","2,691","2,759","2,827","2,898","2,971","3,045","3,121","3,199","3,279","3,361","3,445","3,531","3,619","3,710",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax net assessed value ($),0,"39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989","39,989",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,
O&M fixed expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M production-based expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
O&M capacity-based expense ($),0,231,237,243,249,255,261,268,275,282,289,296,303,311,319,327,335,343,352,360,369,379,388,398,408,418,
Property tax expense ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Insurance expense ($),0,200,205,210,215,221,226,232,238,244,250,256,262,269,276,283,290,297,304,312,320,328,336,344,353,362,
Net salvage value ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total operating expense ($),0,431,442,453,464,476,488,500,512,525,538,552,566,580,594,609,624,640,656,672,689,706,724,742,761,780,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deductible expenses ($),-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"39,989","39,151","38,271","37,348","36,378","35,359","34,290","33,167","31,988","30,750","29,450","28,086","26,653","25,148","23,568","21,909","20,167","18,338","16,418","14,401","12,284","10,061","7,727","5,276","2,702",0,
Interest payment ($),0,"1,999","1,958","1,914","1,867","1,819","1,768","1,714","1,658","1,599","1,538","1,473","1,404","1,333","1,257","1,178","1,095","1,008",917,821,720,614,503,386,264,135,
Principal payment ($),0,838,880,924,970,"1,018","1,069","1,123","1,179","1,238","1,300","1,365","1,433","1,505","1,580","1,659","1,742","1,829","1,920","2,016","2,117","2,223","2,334","2,451","2,574","2,702",
Total P&I debt payment ($),0,"2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837","2,837",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-1,999","-1,958","-1,914","-1,867","-1,819","-1,768","-1,714","-1,658","-1,599","-1,538","-1,473","-1,404","-1,333","-1,257","-1,178","-1,095","-1,008",-917,-821,-720,-614,-503,-386,-264,-135,
State taxable income less deductions ($),0,"-1,999","-1,958","-1,914","-1,867","-1,819","-1,768","-1,714","-1,658","-1,599","-1,538","-1,473","-1,404","-1,333","-1,257","-1,178","-1,095","-1,008",-917,-821,-720,-614,-503,-386,-264,-135,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-1,999","-1,958","-1,914","-1,867","-1,819","-1,768","-1,714","-1,658","-1,599","-1,538","-1,473","-1,404","-1,333","-1,257","-1,178","-1,095","-1,008",-917,-821,-720,-614,-503,-386,-264,-135,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,120,117,115,112,109,106,103,100,96,92,88,84,80,75,71,66,61,55,49,43,37,30,23,16,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,120,117,115,112,109,106,103,100,96,92,88,84,80,75,71,66,61,55,49,43,37,30,23,16,8,
Interest payment ($),-0,"-1,999","-1,958","-1,914","-1,867","-1,819","-1,768","-1,714","-1,658","-1,599","-1,538","-1,473","-1,404","-1,333","-1,257","-1,178","-1,095","-1,008",-917,-821,-720,-614,-503,-386,-264,-135,
Federal taxable income less deductions ($),0,"-1,879","-1,840","-1,799","-1,755","-1,710","-1,662","-1,612","-1,559","-1,503","-1,445","-1,384","-1,320","-1,253","-1,182","-1,108","-1,030",-948,-862,-772,-677,-577,-473,-363,-248,-127,
